,#NURSING BEDS/100k,ICU and IMCU beds/100k population,GDP ($million)/ICU beds,Time,PopMale,PopFemale,new cases,new deaths,cumulative cases,cumulative deaths,#days from first death date to lockdown,#days from first case date to lockdown,% over 65,heart dieases lost per 1000,heart diseas deaths,stroke per  1000,#strokes,Rheumatic heart disease Number of deaths,men smokers%,women smokers %,Diabete %,Cancer Age-standardised rate per 100k,hypertension
0,779.04,21.8,205.9,2019,49.23871381562344,50.761286184376566,0.14751357549233354,0.002010026009736566,0.7715149834038852,0.037632153626734596,4.0,20.0,19.0015664595899,6,15418,4,7559,185,37.4,26.3,3.8,247.7,161
1,1232.25,15.9,266.5,2019,49.495776443095544,50.50422355690445,0.002339824700333451,0.04298344634686636,0.004333008704321205,0.2616270655669144,7.0,43.0,18.7887437383395,5,14985,4,9234,68,33.2,22.9,4,345.8,193
2,43.85,12.2,52.2,2019,48.571388163940696,51.428611836059325,0.003999933143974594,0.0001428547551419498,0.08242719371690503,0.0035713688785487447,10000.0,10000.0,21.021914434268,14,26243,13,20882,232,47.3,28.2,7.7,242.8,92
3,223.29,14.7,93.6,2019,48.1808944098236,51.819105590176406,0.012832000782509935,0.0007263396669345246,0.11984604504419656,0.00944241567014882,-1.0,22.0,20.445433012423,10,11653,11,8653,152,41.4,27.4,4.4,287.2,46
4,816.62,6.7,833.0,2019,49.71817660009041,50.2818233999096,0.028760141631569768,0.0020790463830050432,0.4099186451824944,0.04937735159636978,-3.0,13.0,19.8129526369902,5,10013,4,4871,17,40.3,36.9,3.8,340.4,178
5,828.29,14.6,98.2,2019,47.269375226775715,52.730624773224285,0.052804324523308965,0.002263042479570384,0.4865541331076326,0.03243694220717551,10000.0,10000.0,19.626356846974897,16,6235,9,2964,65,57.1,28.8,4.4,283.3,119
6,1151.73,6.1,727.0,2019,49.29739004247708,50.7026099575229,0.0,0.0007230450173250624,0.0003615225086625312,0.01771460292446403,10000.0,10000.0,21.7207875455222,7,12488,4,4875,77,31.6,22.3,3.9,266.2,181
7,1001.49,11.6,339.9,2019,48.40261661759358,51.59738338240641,0.0,0.0008751763461144956,0.00018424765181357803,0.002272387705700796,31.0,53.0,20.0346247469881,3,46132,3,37750,1136,42.6,33.9,3.9,344.1,166
8,1119.57,29.2,137.6,2019,49.390055055347624,50.609944944652376,0.00022749846779781938,0.003987209988245992,0.000550785764142089,0.02812599478195146,10000.0,10000.0,21.4619619953309,6,172717,4,79326,2241,39,30.9,4.1,313.1,174
9,15.02,6.0,449.1,2019,49.081429885772145,50.918570114227855,0.007065483280966008,0.0004773975189841898,0.09223320066774546,0.008784114349309091,12.0,26.0,21.6552720778435,7,16825,6,22694,10,53.5,33.6,10.3,279.8,176
10,842.27,13.8,94.9,2019,47.58288348195293,52.41711651804706,0.003923722828219414,0.0013423262307066417,0.0643284032100183,0.012597215395862331,13.0,24.0,19.1577253832321,13,29502,8,17148,354,47.2,27.7,4.4,368.1,77
11,760.4,9.1,434.3,2019,50.20985910092409,49.79014089907592,0.16812324318584698,0.0,3.0085211938519985,0.023596244657662736,10000.0,10000.0,14.795092556568902,5,416,3,189,3,26.5,27.1,3.2,257.8,190
12,649.48,6.5,716.2,2019,49.614316278265754,50.38568372173424,0.06041989162105136,0.004915516606458416,0.596006388533083,0.05878138608556522,1.0,12.0,13.8658017012923,8,6527,4,2650,51,33.8,26.5,3.2,373.7,165
13,388.5,12.5,272.2,2019,48.65564035806915,51.34435964193085,0.00934763237023653,0.010751428750925761,0.02797683610455951,0.09043751741946156,17.0,38.0,22.7516796025077,4,92928,4,69075,1790,37.9,29.7,9.2,290.6,155
14,281.65,9.7,110.7,2019,46.04445283573009,53.9555471642699,0.025173856949557885,0.002097821412463157,0.233907087489642,0.0047200981780421035,10000.0,10000.0,20.0436203206809,17,9928,12,7278,109,64.5,29.2,4.5,302.2,94
15,646.46,15.5,72.5,2019,46.2553508059592,53.744649194040804,0.023916240975695665,0.0007247345750210808,0.16668895225484856,0.013407589637889994,-5.0,17.0,19.7050331564608,16,14662,7,5089,186,46.4,15.9,4.2,285.8,89
16,996.63,24.8,432.7,2019,50.527016711870466,49.472983288129534,0.061715362252935536,0.004872265441021227,3.228687898916733,0.11206210514348822,4.0,18.0,14.183154184147199,4,455,5,390,0,41.4,30.2,3.6,309.3,170
17,531.0,34.7,384.57916666666665,2019,49.48151279220082,50.51848720779919,6.0778281022282295e-05,0.0015528850801193126,0.00010636199178899402,0.009049886044217834,10000.0,10000.0,15.8076540556035,8,514450,4,163768,3479,27.8,22.3,8.8,352.2,199
18,802.45,8.0,1045.5,2019,50.50907636731136,49.49092363268864,0.07176243140041409,0.0011154782082965923,0.6981034453589506,0.024912346651957226,-2.0,15.0,17.0492221563211,5,8886,3,4817,103,40.3,39,3.9,337.8,180
19,181.97,6.9,178.1,2019,48.460330379425066,51.539669620574934,0.01153406464581936,0.0007126309964236218,0.08929002447781897,0.005489898046522715,1.0,9.0,17.5178167625452,10,77151,7,43032,1277,51.5,27.9,4.1,253.8,91
20,915.85,6.4,364.4,2019,49.776634302774774,50.22336569722522,0.020686463451829885,0.0009621610907827854,0.47001569284739064,0.026459429996526597,10000.0,10000.0,19.6068796541788,6,2803,6,2003,87,32.7,20.8,4.3,304.9,63
21,796.39,9.7,314.8,2019,49.12757579244544,50.87242420755456,0.0007702712608668692,0.020561963380362817,0.0025675708695562308,0.22141019465139897,11.0,42.0,19.3785075224995,4,45018,3,34880,1738,43.9,31.2,8.7,272.3,179
22,1276.49,5.8,834.0,2019,50.073746628643704,49.926253371356296,0.00019927481900615471,0.007672080531736956,0.001394923733043083,0.0866845462676773,10000.0,10000.0,20.0955249278002,5,20122,3,9984,143,21.3,24.9,4.3,294.7,182
23,1165.08,11.0,609.6,2019,49.592387050200784,50.40761294979923,0.1063859381534544,0.008729699520250635,1.37475308044907,0.07751973173982563,12.0,21.0,18.6232165647717,4,10746,2,4508,112,37.6,28.3,3.9,311.0,187
24,847.39,6.6,547.0,2019,49.3874655503931,50.612534449606905,0.000192506574951006,0.010499012433866403,0.000533095130633555,0.0639714156760266,18.0,52.0,18.395865674146602,7,120530,4,59322,1712,34.6,34.4,3.9,319.2,194
